"#Table S1. Description of the data included in MATEdb. Phylum, Subphylum, Class, Subclass, Superorder, Order, Family, Genus and Species_or_Subspecies correspond to those taxonomic levels using the information from NCBI Taxonomy and curating it when required. NCBI_Taxonomy_ID stands for NCBI's Taxonomy ID. Code corresponds to a four letter plus one number code used for each dataset. The same four letters are used when a specie comprises more than one dataset and the number is changed. Genome_or_Transcriptome for whether the data corresponds to a genome or a transcriptome, Sequencing_Technology to describe the sequencing technology used to generate te data. Database corresponds to the source of the raw data and Accession_Number refers to the accession number in the aforementioned database. Reference contains the publication where the generation of the data is described. Alternative_repository refers to any other source with additional information for that given dataset. BUSCO_Database refers to the database used to quantify completeness metrics. Trinity_C_plus_F Trinity_C Trinity_S Trinity_D Trinity_F Trinity_M each refer to the complete plus fragmented genes, complete, single copy, duplicated, fragmented an missing genes as determined by BUSCO in the assemblies produced by Trinity. Filtered_C_plus_F Filtered_C Filtered_S Filtered_D Filtered_F Filtered_M refer to the aforementioned parameters after filtering the data using BlobTools. Protein_Number refers to the number of proteins identified by TransDecoder, C_plus_F C S D F M refere to the same parameters previously described as part of BUSCO's output and Eggnog refers the the number of proteins whose annotation was possible using eggNOG-mapper. Fields # contigs (>= 0 bp), # contigs (>= 1000 bp), # contigs (>= 5000 bp), # contigs (>= 10000 bp), # contigs (>= 25000 bp), # contigs (>= 50000 bp), Total length (>= 0 bp), Total length (>= 1000 bp), Total length (>= 5000 bp), Total length (>= 10000 bp), Total length (>= 25000 bp), Total length (>= 50000 bp), # contigs, Largest contig, Total length, GC (%), N50, N75, L50, L75 and # N's per 100 kbp describe the basic statistics calculated using QUAST for all the genomic datasets in the database. The fields # Transcripts and # Longest isoforms are calculated for the transcriptomes in the database."																																																												
																																																												
Phylum	Subphylum	Class	Subclass	Superorder	Order	Family	Genus	Species_or_Subspecies	NCBI_Taxonomy_ID	Code	Genome_or_Transcriptome	Sequencing_Technology	Database	Accession_Number	Reference	Alternative_repository	BUSCO_Database	Trinity_C_plus_F	Trinity_C	Trinity_S	Trinity_D	Trinity_F	Trinity_M	Filtered_C_plus_F	Filtered_C	Filtered_S	Filtered_D	Filtered_F	Filtered_M	Protein_Number	C_plus_F	C	S	D	F	M	Eggnog	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp	# Transcripts	# Longest isoforms
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Phalangiidae	Phalangium	Phalangium opilio	118624	POPI1	Transcriptome	Illumina GAII	NCBI SRA	SRR1145735			arthropoda_odb10	96.7	95.5	29.7	65.8	1.2	3.3	98.6	96	22.9	73.1	2.6	1.4	18514	94	90.9	89.2	1.7	3.1	6	13341	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	162550	18514
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Phalangodidae	Sitalcina	Sitalcina lobata	1454760	SLOB1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1146669			arthropoda_odb10	94.4	92.7	76.2	16.5	1.7	5.6	98.1	96	79.4	16.6	2.1	1.9	15625	95.7	93.4	92.3	1.1	2.3	4.3	12269	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58247	15625
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Samoidae	Pellobunus	Pellobunus sp. RF-2017	1955543	PELL1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5242746			arthropoda_odb10	92.7	87.5	56.4	31.1	5.2	7.3	96.2	90	61.1	28.9	6.2	3.8	22011	91.3	85	84.2	0.8	6.3	8.7	15912	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	261040	22011
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Sclerosomatidae	Homalenotus	Homalenotus remyi	1954382	HREM1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5235983			arthropoda_odb10	87.8	69.3	38.2	31.1	18.5	12.2	88.4	64.4	33.5	30.9	24	11.6	20573	78.8	56.1	55.3	0.8	22.7	21.2	13836	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	231658	20573
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Sclerosomatidae	Protolophus	Protolophus singularis	409368	PSIN1	Transcriptome	Illumina GAII	NCBI SRA	SRR1145700			arthropoda_odb10	88.2	75.2	39.3	35.9	13	11.8	90.2	75.5	45.2	30.3	14.7	9.8	28858	87.1	72.4	71.8	0.6	14.7	12.9	17173	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	281533	28858
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Sironidae	Siro	Siro boyerae	385973	SBOY1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1145699			arthropoda_odb10	91.4	85.7	71.1	14.6	5.7	8.6	93.8	88.3	73.1	15.2	5.5	6.2	12875	89	83.5	82.5	1	5.5	11	10317	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35155	12875
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Stygnidae	Protimesius	Protimesius longipalpis	1955539	PLON1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5241477			arthropoda_odb10	89.8	80.1	61.3	18.8	9.7	10.2	93.7	82.7	62.5	20.2	11	6.3	20781	91.1	80	74.6	5.4	11.1	8.9	16103	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	109705	20781
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Triaenonychidae	Fumontana	Fumontana deprehendor	476021	FDEP1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5236916			arthropoda_odb10	89.2	76.2	57	19.2	13	10.8	91.7	78.4	58.4	20	13.3	8.3	17643	86.6	73.5	72.8	0.7	13.1	13.4	13441	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	127822	17643
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Trogulidae	Trogulus	Trogulus martensi	591623	TMAR1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1145730			arthropoda_odb10	92.9	90.5	74.1	16.4	2.4	7.1	96.8	94.2	78.3	15.9	2.6	3.2	13972	93.8	90.8	90	0.8	3	6.2	11113	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51019	13972
Arthropoda	Chelicerata	Arachnida	-	-	Palpigradi	Eukoeneniidae	Eukoenenia	-	129188	EZAR1	Transcriptome	Illumina HiSeq 2500	Sequenced by us	-			arthropoda_odb10	94.1	90.4	62.8	27.6	3.7	5.9	96.6	93.5	66.5	27	3.1	3.4	26327	93.2	90.1	88.5	1.6	3.1	6.8	15507	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	320740	26327
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Bochicidae	Bochica	Bochica sp. MCZ 144332	2590525	BWIT1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9332002			arthropoda_odb10	90.6	87.4	66.3	21.1	3.2	9.4	94.5	90.4	69.4	21	4.1	5.5	17031	92.8	88.5	84.9	3.6	4.3	7.2	12709	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	159523	17031
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Cheliferidae	Parachelifer	Parachelifer persimilis	2590497	PAPE1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9331990			arthropoda_odb10	82.7	61.7	43.1	18.6	21	17.3	85.4	63.2	45.2	18	22.2	14.6	22643	81.3	59.6	56.5	3.1	21.7	18.7	16911	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	114555	22643
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Cheliferidae	Protochelifer	Protochelifer sp. MCZ 49984	2590517	PROT2	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9331996			arthropoda_odb10	92	86.1	33.3	52.8	5.9	8	91.6	83.4	32.5	50.9	8.2	8.4	19235	86.9	79	76.3	2.7	7.9	13.1	12777	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	500960	19235
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Feaellidae	Cybella	Cybella gelanggi	2590503	CGEL1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9331981			arthropoda_odb10	88.8	79.2	51	28.2	9.6	11.2	91.4	79.9	52.2	27.7	11.5	8.6	18712	86.2	74.2	72.3	1.9	12	13.8	13737	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	267307	18712
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Garypidae	Synsphyronus	Synsphyronus apimelus	534689	SAPI1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1145733			arthropoda_odb10	84.5	72.4	45.9	26.5	12.1	15.5	87.6	75.3	48.4	26.9	12.3	12.4	21454	87	74.5	72.8	1.7	12.5	13	14900	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	135354	21454
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Gymnobisiidae	Gymnobisium	Gymnobisium sp. MCZ 139238	2590512	GYMN1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9331987			arthropoda_odb10	88.1	74.5	51.2	23.3	13.6	11.9	91	77.9	53.7	24.2	13.1	9	19518	89.3	76.1	73.8	2.3	13.2	10.7	14271	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	230765	19518
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Olpiidae	Apolpium	Apolpium sp. MCZ 144360	2590504	APOL1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9332003			arthropoda_odb10	88.1	82.6	67.7	14.9	5.5	11.9	91.1	84.7	70.3	14.4	6.4	8.9	17292	90.7	84.3	81.4	2.9	6.4	9.3	12998	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	104820	17292
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Parahyidae	Parahya	Parahya submersa	534673	PSUB1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9331989			arthropoda_odb10	85.9	69.8	48.5	21.3	16.1	14.1	89.7	71.8	49.3	22.5	17.9	10.3	19502	86.2	68.3	66.2	2.1	17.9	13.8	14635	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	275451	19502
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Pseudotyrannochthoniidae	Pseudotyrannochthonius	Pseudotyrannochthonius sp. B LB-2019	2590520	PSSP1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9331997			arthropoda_odb10	95.5	95.2	24.5	70.7	0.3	4.5	98.6	98	24.7	73.3	0.6	1.4	33819	98.2	97.7	37.6	60.1	0.5	1.8	26493	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	154508	33819
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Sternophoridae	-	Sternophoridae sp. MCZ 133496	2590522	STSP1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9332020			arthropoda_odb10	87.5	75.5	45.8	29.7	12	12.5	89.8	77.9	48.3	29.6	11.9	10.2	19605	82.9	70.8	69.5	1.3	12.1	17.1	14590	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	258178	19605
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Syarinidae	Ideobisium	Ideobisium crassimanum	2590493	ICRA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9331979			arthropoda_odb10	93.1	90.9	68.9	22	2.2	6.9	96	93.5	70.3	23.2	2.5	4	17351	94.5	92	87.8	4.2	2.5	5.5	13328	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	127563	17351
Arthropoda	Chelicerata	Arachnida	-	-	Pseudoscorpiones	Withiidae	Cacodemonius	Cacodemonius sp. MCZ 144363	2590505	CSEG1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9332001			arthropoda_odb10	93.7	92.3	57.8	34.5	1.4	6.3	96.8	95.3	58.9	36.4	1.5	3.2	28630	96.3	94.6	73.5	21.1	1.7	3.7	21662	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	90967	28630
Arthropoda	Chelicerata	Arachnida	-	-	Ricinulei	Ricinoididae	Cryptocellus	Cryptocellus becki	1642531	CBEC1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1979416			arthropoda_odb10	89.7	75.5	38	37.5	14.2	10.3	92.4	76	40.7	35.3	16.4	7.6	29995	87.7	71.1	70.3	0.8	16.6	12.3	17905	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	350252	29995
Arthropoda	Chelicerata	Arachnida	-	-	Ricinulei	Ricinoididae	Cryptocellus	Cryptocellus sp. n. RF-2015	1643398	CRYP1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1982218			arthropoda_odb10	86.1	68.7	48.4	20.3	17.4	13.9	89.1	70.1	50	20.1	19	10.9	20792	85.2	66.4	66.3	0.1	18.8	14.8	14651	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	140046	20792
Arthropoda	Chelicerata	Arachnida	-	-	Ricinulei	Ricinoididae	Ricinoides	Ricinoides atewa	1046921	RATE1	Transcriptome	Illumina GAII	NCBI SRA	SRR1145743			arthropoda_odb10	94.7	92.6	43.8	48.8	2.1	5.3	97.7	94.5	41.5	53	3.2	2.3	20036	93.7	90.4	89.1	1.3	3.3	6.3	13982	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	133988	20036
Arthropoda	Chelicerata	Arachnida	-	-	Schizomida	Hubbardiidae	Stenochrus	Stenochrus cf. portoricensis RK-2018	2080935	SPOR1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6997625			arthropoda_odb10	85.8	69.1	46.5	22.6	16.7	14.2	87.6	69.4	46.4	23	18.2	12.4	23802	84.5	66	64.5	1.5	18.5	15.5	16655	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	251098	23802
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Buthidae	Centruroides	Centruroides sculpturatus	218467	CSCU1	Genome	Illumina HiSeq	NCBI Genome	GCF_000671375.1			arthropoda_odb10	-	-	-	-	-	-	-	-	-	-	-	-	24591	95.1	90.8	83.4	7.4	4.3	4.9	21121	8338	8256	5078	3503	2579	2309	925474958	925397968	916882337	905526910	891547900	881786549	8337	2582316	925474703	30.14	537465	300605	523	1090	6746.13	-	-
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Chactidae	Brotheas	Brotheas granulatus	311986	BGRA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1721887			arthropoda_odb10	87.4	73.3	56	17.3	14.1	12.6	90.4	74.1	56.1	18	16.3	9.6	21443	88.2	72	69.9	2.1	16.2	11.8	15856	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	176906	21443
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Chactidae	Uroctonus	Uroctonus mordax	507508	UMOR1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR7415024			arthropoda_odb10	95.4	94.4	55.1	39.3	1	4.6	97.9	96.8	58.7	38.1	1.1	2.1	20916	94.5	93.3	90.1	3.2	1.2	5.5	15591	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	130465	20916
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Chaerilidae	Chaerilus	Chaerilus celebensis	1577633	CCEL1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1721804			arthropoda_odb10	87.8	73.8	47.2	26.6	14	12.2	89.8	74.7	49	25.7	15.1	10.2	25893	86.5	71.6	70.1	1.5	14.9	13.5	18335	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	314067	25893
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Euscorpiidae	Megacormus	Megacormus gertschi	1843536	MGER1	Transcriptome	Illumina GAIIx	NCBI SRA	SRR3657526			arthropoda_odb10	94	92.7	69.9	22.8	1.3	6	97.8	95.9	72.5	23.4	1.9	2.2	14350	96.4	94.6	91.3	3.3	1.8	3.6	12066	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60066	14350
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Euscorpiidae	Scorpiops	Scorpiops sp. PPS-2014	1588039	SCOR1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1767662			arthropoda_odb10	90.3	80	54	26	10.3	9.7	94	82.3	57.3	25	11.7	6	29020	89.9	77.6	76.2	1.4	12.3	10.1	19241	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	409706	29020
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Pseudochactidae	Troglokhammouanus	Troglokhammouanus steineri	1577154	TSTE1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1721739			arthropoda_odb10	90.8	84.5	59.5	25	6.3	9.2	94	86.1	61.7	24.4	7.9	6	20127	89.7	81.7	79.4	2.3	8	10.3	16269	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	159765	20127
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Scorpionidae	Pandinus	Pandinus imperator	55084	PIMP1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1721600			arthropoda_odb10	88.5	76.6	45.8	30.8	11.9	11.5	91.2	76.4	45.2	31.2	14.8	8.8	21882	82.7	67.6	65.4	2.2	15.1	17.3	15786	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	185873	21882
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Scorpionidae	Urodacus	Urodacus elongatus	2341116	UELO1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR7885472			arthropoda_odb10	90.5	80.3	51.4	28.9	10.2	9.5	93.9	81.7	52.8	28.9	12.2	6.1	21930	88.9	76.5	74.2	2.3	12.4	11.1	15677	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	253640	21930
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Superstitionidae	Superstitionia	Superstitionia donensis	311983	SDON1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1721951			arthropoda_odb10	86.5	67.1	43.5	23.6	19.4	13.5	88.6	68.2	45.1	23.1	20.4	11.4	25862	84.1	63.4	61.6	1.8	20.7	15.9	18289	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	277907	25862
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Vaejovidae	Konetontli	Konetontli acapulco	1532980	KACA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR7422029			arthropoda_odb10	91.3	86.2	60.4	25.8	5.1	8.7	94	88.9	63.5	25.4	5.1	6	18148	90.7	85.5	82.9	2.6	5.2	9.3	14346	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81974	18148
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Vaejovidae	Paruroctonus	Paruroctonus baergi	2212853	PBAE1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR7443668			arthropoda_odb10	94.9	93.7	59.3	34.4	1.2	5.1	98	96.6	62.9	33.7	1.4	2	17736	94.4	93	89.6	3.4	1.4	5.6	14090	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	118602	17736
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Vaejovidae	Pseudouroctonus	Pseudouroctonus apacheanus	311985	PAPA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR8518585			arthropoda_odb10	95.3	92.8	65.9	26.9	2.5	4.7	98.1	95.2	69.9	25.3	2.9	1.9	18701	95.9	92.9	89.6	3.3	3	4.1	14827	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	105085	18701
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Vaejovidae	Uroctonites	Uroctonites huachuca	2511127	UHUA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR8518582			arthropoda_odb10	94.2	92.5	62.9	29.6	1.7	5.8	97.5	95.3	66.8	28.5	2.2	2.5	17912	94.5	92.2	88.7	3.5	2.3	5.5	14291	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	101522	17912
Arthropoda	Chelicerata	Arachnida	-	-	Scorpiones	Vaejovidae	Vaejovis	Vaejovis mexicanus	993612	VMEX1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR7421527			arthropoda_odb10	85.8	76.9	57.3	19.6	8.9	14.2	89.6	79.5	59.8	19.7	10.1	10.4	16167	87.9	77.5	75.1	2.4	10.4	12.1	13289	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65440	16167
Arthropoda	Chelicerata	Arachnida	-	-	Solifugae	Galeodidae	Galeodes	Galeodes sp. JLF-2018	2126959	GALE2	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR8745910			arthropoda_odb10	90.8	82.8	44.1	38.7	8	9.2	94	85.1	46.1	39	8.9	6	15265	88.2	79.2	78.2	1	9	11.8	11807	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79822	15265
Arthropoda	Chelicerata	Arachnida	-	-	Solifugae	Solpugidae	Solpugema	Solpugema sp. MCZ 49525	2590529	SOLP1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9332019			arthropoda_odb10	94.8	91.1	30.8	60.3	3.7	5.2	96.7	92.2	34.6	57.6	4.5	3.3	15341	83.4	78.3	77.2	1.1	5.1	16.6	11199	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	124433	15341
Arthropoda	Chelicerata	Arachnida	-	-	Uropygi	Thelyphonidae	Mastigoproctus	Mastigoproctus giganteus	58767	MGIG1	Transcriptome	Illumina GAII	NCBI SRA	SRR1145698			arthropoda_odb10	90.2	79.8	58.1	21.7	10.4	9.8	93.3	81.7	54.6	27.1	11.6	6.7	21110	92.9	81.4	77.9	3.5	11.5	7.1	16129	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	126916	21110
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Acaridae	Rhizoglyphus	Rhizoglyphus robini	223528	RROB1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR946953			arthropoda_odb10	87.5	85.6	41.6	44	1.9	12.5	93.8	91.4	44.6	46.8	2.4	6.2	30941	72.7	70.2	67.9	2.3	2.5	27.3	15917	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	114968	30941
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Achipteriidae	Achipteria	Achipteria coleoptrata	229769	ACOL1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR4039018			arthropoda_odb10	91	90.6	28.1	62.5	0.4	9	96.6	96	29	67	0.6	3.4	21730	66.4	65.2	63.9	1.3	1.2	33.6	13064	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	114742	21730
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Camisiidae	Platynothrus	Platynothrus peltifer	128015	PPEL1	Transcriptome	Illumina MiSeq	NCBI SRA	SRR4039022			arthropoda_odb10	90	83.2	58.8	24.4	6.8	10	93.3	86.1	61.7	24.4	7.2	6.7	20583	89.6	81.7	80.9	0.8	7.9	10.4	15078	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	103928	20583
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Hermanniidae	Hermannia	Hermannia gibba	229873	HGIB1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR4039019			arthropoda_odb10	92.6	91.9	30.8	61.1	0.7	7.4	96.7	95.7	34.1	61.6	1	3.3	21115	72.1	70.7	69.1	1.6	1.4	27.9	12624	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	135980	21115
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Hypochthoniidae	Hypochthonius	Hypochthonius rufulus	66581	HRUF1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR4039020			arthropoda_odb10	91.7	88.4	42.7	45.7	3.3	8.3	95.1	91.4	45.8	45.6	3.7	4.9	14809	80.6	77.2	75.9	1.3	3.4	19.4	11138	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74931	14809
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Nothridae	Nothrus	Nothrus palustris	198293	NPAL1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR4039021			arthropoda_odb10	92	91.5	31.2	60.3	0.5	8	97.2	96.3	34.9	61.4	0.9	2.8	19930	74	72.9	71.3	1.6	1.1	26	12683	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	116368	19930
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Pyroglyphidae	Dermatophagoides	Dermatophagoides pteronyssinus	6956	DPTE1	Genome	Illumina PE + MP	NCBI Genome	GCA_001901225.2	https://doi.org/10.1128/genomeA.00789-17		arthropoda_odb10	-	-	-	-	-	-	-	-	-	-	-	-	11184	91.9	90.4	88.2	2.2	1.5	8.1	8790	1322	1322	590	397	265	206	70764025	70764025	69213671	67903862	65848676	63747692	1322	3593316	70764025	30.93	450436	170389	33	100	3144.27	-	-
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Sarcoptidae	Sarcoptes	Sarcoptes scabiei	52283	SSCA1	Genome	Illumina HiSeq 2500; PacBio RS II	NCBI Genome	GCA_014595675.1			arthropoda_odb10	-	-	-	-	-	-	-	-	-	-	-	-	9174	91.5	89.5	88.7	0.8	2	8.5	7303	66	66	64	61	51	44	56576587	56576587	56568660	56540830	56362353	56088281	66	8198586	56576587	33.31	2965819	1514401	5	12	172.6	-	-
Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Steganacaridae	Steganacarus	Steganacarus magnus	52000	SMAG1	Transcriptome	Illumina MiSeq	NCBI SRA	SRR4039023			arthropoda_odb10	91.6	90.6	42.4	48.2	1	8.4	96.3	94.8	47.8	47	1.5	3.7	18055	80.6	79.5	78.5	1	1.1	19.4	12199	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	76760	18055
